Nama,NIM,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40
Nama_9905,NIM_7292518,2,2,4,3,2,4,5,3,4,2,5,4,3,5,2,3,5,1,2,5,4,4,2,1,3,1,4,3,3,2,2,2,5,3,4,2,3,2,2,4
Nama_1846,NIM_6584263,5,2,4,4,2,5,4,3,5,2,4,3,2,5,5,2,3,2,3,5,3,2,4,2,3,3,4,2,4,3,5,2,5,4,3,1,4,3,2,2
Nama_7943,NIM_8483058,4,5,5,2,1,2,3,3,5,1,3,2,4,5,4,3,5,3,3,5,4,3,4,1,4,1,4,1,4,5,3,4,5,3,4,1,5,3,3,4
Nama_7166,NIM_5588334,4,1,4,3,2,5,5,3,4,2,4,2,3,3,2,4,3,1,2,5,3,4,3,3,3,1,3,1,4,3,5,1,5,3,3,1,4,1,1,4
Nama_5243,NIM_3412149,4,4,4,3,1,2,5,2,4,1,3,4,4,5,4,2,5,3,3,1,3,4,2,1,3,2,5,4,5,1,4,1,5,4,4,1,4,3,2,4
Nama_6207,NIM_8021855,4,3,5,2,1,3,2,4,3,2,5,1,4,2,4,1,3,1,4,4,3,5,5,2,3,1,3,4,2,3,5,2,4,4,5,3,2,3,1,4
Nama_8643,NIM_6927613,3,3,5,3,2,3,3,1,4,1,4,4,3,5,3,4,4,2,3,5,5,3,4,1,3,3,4,5,4,2,5,2,5,2,3,1,3,3,2,2
Nama_9407,NIM_3490706,4,3,5,5,1,4,2,2,5,3,5,2,5,3,2,4,3,2,2,5,3,4,3,1,3,3,5,4,2,3,5,2,5,3,3,1,4,3,1,2
Nama_4760,NIM_5720642,2,2,5,4,1,4,3,2,4,3,5,3,4,4,2,4,5,1,4,4,3,3,3,3,4,1,5,5,4,1,5,1,4,4,5,2,3,4,1,3
Nama_2218,NIM_3710241,4,3,5,5,1,3,2,2,4,4,4,3,3,5,5,3,4,3,4,5,4,3,3,3,4,2,5,5,5,3,4,2,5,3,4,1,4,4,2,4
Nama_3064,NIM_9551646,3,3,5,3,1,3,4,3,5,2,5,3,3,3,5,3,3,3,5,4,3,2,3,3,3,2,5,4,3,2,3,1,5,3,3,2,4,3,1,5
Nama_4610,NIM_9296877,3,1,4,4,1,4,3,1,3,3,3,3,4,3,3,2,5,1,3,3,3,5,4,2,4,2,4,4,2,2,5,1,5,4,2,1,4,3,2,3
Nama_2895,NIM_8258746,4,2,5,4,2,4,5,2,5,3,5,2,5,4,2,3,4,2,4,4,3,5,4,2,4,2,5,2,3,1,5,2,4,5,2,1,4,4,3,3
Nama_6631,NIM_4092195,2,2,5,4,2,2,5,3,5,2,5,2,2,3,2,5,2,2,2,5,4,3,3,1,5,1,3,3,1,3,4,3,5,2,3,2,4,4,3,3
Nama_3203,NIM_5015470,3,3,4,3,2,3,3,1,4,3,4,3,4,4,2,5,2,4,3,5,3,4,3,1,5,1,5,3,3,5,5,2,4,4,4,2,2,3,1,5
Nama_9125,NIM_7851803,4,1,5,3,1,3,4,2,5,2,4,3,3,4,3,2,5,1,5,5,4,1,4,4,3,1,3,4,5,3,5,2,3,4,1,1,5,3,2,5
Nama_9212,NIM_2999254,4,2,3,5,1,2,3,2,5,5,5,3,5,4,3,3,5,1,4,5,3,4,3,1,3,1,4,5,2,3,5,2,5,5,3,1,4,3,1,4
Nama_6699,NIM_6877809,4,3,5,4,1,4,2,2,5,2,5,1,3,3,2,3,3,2,3,5,3,3,4,2,2,1,5,3,2,4,5,2,5,2,2,3,2,1,1,5
Nama_4713,NIM_8017403,3,3,5,4,2,5,2,1,5,4,4,4,4,3,2,4,4,2,5,4,5,2,2,1,4,2,5,5,3,3,4,2,5,4,2,1,3,2,2,4
Nama_6962,NIM_5584258,2,1,5,5,1,4,4,2,5,2,5,3,3,4,2,3,5,1,4,4,5,4,2,2,5,2,5,2,2,2,4,1,5,4,3,2,4,1,1,3
Nama_3719,NIM_6130076,4,2,3,2,1,4,3,1,5,4,4,1,3,4,3,3,5,3,3,4,3,3,3,2,4,2,5,2,4,1,3,1,5,3,3,1,5,2,3,4
Nama_7007,NIM_1660902,2,4,5,5,1,3,4,1,3,2,4,3,5,4,4,4,5,1,4,5,4,3,3,1,3,3,4,1,4,2,5,1,4,3,5,2,1,3,2,3
Nama_5531,NIM_6222798,2,1,5,4,1,3,4,2,5,3,4,2,4,3,2,3,3,1,4,4,5,4,3,1,3,1,2,4,3,2,5,2,4,3,4,1,4,1,1,4
Nama_1301,NIM_9281447,2,3,4,3,1,4,5,3,5,2,3,2,3,2,3,4,4,2,5,5,2,3,4,2,4,2,4,3,4,3,5,1,5,5,3,3,5,5,2,4
Nama_4083,NIM_5476321,4,4,5,4,2,1,3,2,5,3,4,2,3,3,1,2,5,3,3,5,4,3,2,1,5,3,4,4,5,3,5,3,4,3,3,2,3,2,2,4
Nama_2019,NIM_9333100,4,1,3,3,2,4,4,3,5,2,5,4,4,4,2,4,4,1,1,4,4,4,2,2,3,1,4,4,3,2,3,1,4,4,4,1,4,2,1,4
Nama_1689,NIM_5034464,3,3,5,3,1,4,3,3,5,3,4,5,3,4,1,2,4,3,4,4,4,4,2,1,5,2,5,4,4,2,3,1,3,4,5,1,4,2,1,3
Nama_1610,NIM_6047999,3,4,5,3,3,4,4,2,4,2,5,3,4,5,2,4,3,1,5,4,3,1,2,1,2,1,5,3,3,1,3,2,5,4,5,1,4,1,2,3
Nama_2898,NIM_1371616,3,3,5,3,1,4,3,4,4,3,5,2,4,3,2,4,5,1,2,3,4,4,1,1,4,2,3,4,3,4,5,2,5,2,5,1,4,3,1,4
Nama_9915,NIM_5352892,2,4,4,4,2,3,4,2,5,1,5,4,2,3,3,4,5,2,4,5,4,3,3,3,3,1,5,3,1,3,4,1,5,4,4,1,4,2,2,4
Nama_6075,NIM_6712044,4,2,5,3,2,3,3,3,3,2,3,3,5,3,3,4,5,2,4,4,4,3,2,2,4,3,5,4,4,5,3,1,5,3,4,2,5,1,3,5
Nama_4740,NIM_3770742,3,3,4,1,2,4,5,3,5,3,4,2,3,1,2,1,5,1,3,4,3,4,4,1,4,4,5,3,3,2,4,2,5,1,3,3,3,2,1,2
Nama_7132,NIM_2549420,2,3,4,4,3,4,3,2,2,2,4,2,3,4,2,3,5,2,2,5,3,4,3,2,4,2,4,4,2,3,4,1,4,2,3,2,4,1,3,3
Nama_6624,NIM_5201765,4,3,5,3,1,2,3,4,5,3,3,2,2,5,4,4,4,3,3,3,3,3,3,1,2,3,4,3,5,1,3,3,5,3,3,1,4,2,1,4
Nama_8597,NIM_6446079,2,1,4,3,1,3,3,4,4,1,5,2,3,4,1,4,5,1,3,4,3,5,3,2,4,1,3,4,4,4,5,1,4,4,4,2,2,1,1,5
Nama_3567,NIM_2705243,4,3,5,5,1,1,3,3,4,4,5,3,4,3,1,3,5,1,2,5,4,4,4,1,3,2,5,2,5,3,5,1,3,4,3,1,4,3,2,5
Nama_1276,NIM_6910184,3,2,4,4,2,4,4,2,5,4,5,3,3,4,2,3,3,1,3,4,4,3,3,2,3,1,5,4,3,3,4,1,4,3,4,1,3,3,1,4
Nama_2588,NIM_3250397,4,3,5,2,1,4,5,4,5,2,5,2,4,4,4,5,5,1,3,3,3,3,2,2,3,3,5,3,3,3,5,1,4,3,2,1,3,3,2,4
Nama_3224,NIM_7985945,4,3,5,4,1,3,3,3,4,2,5,3,3,2,2,3,5,1,3,4,5,4,3,1,5,1,5,3,4,4,5,2,4,3,4,1,5,2,3,4
Nama_2673,NIM_4594804,4,2,4,3,1,3,5,3,4,2,5,3,2,5,3,4,5,2,4,5,3,3,3,3,2,1,5,4,4,3,4,3,3,3,3,1,3,4,2,4
Nama_7683,NIM_8972368,3,2,5,3,2,5,4,2,3,4,3,3,4,3,2,2,5,2,2,4,4,4,3,1,3,2,5,3,5,1,4,1,4,2,4,2,4,3,1,2
Nama_8186,NIM_2349590,4,2,5,4,1,4,5,2,5,1,4,3,5,4,2,3,3,2,4,4,3,4,2,1,5,1,4,3,4,2,4,3,5,3,2,3,3,3,1,4
Nama_4008,NIM_1801849,3,3,3,4,3,3,2,4,5,2,4,1,5,3,1,4,4,1,3,5,2,5,3,1,3,1,5,4,5,2,2,3,4,4,5,4,3,3,3,3
Nama_7534,NIM_2947238,2,1,5,2,2,4,2,2,5,2,4,3,4,3,2,5,5,2,4,4,3,4,3,3,4,1,5,3,3,3,5,5,5,3,4,2,3,4,2,4
Nama_1166,NIM_4668280,4,2,4,2,2,4,4,4,4,3,3,2,4,4,2,3,3,1,4,5,4,4,3,1,4,2,5,3,1,4,4,1,5,3,5,2,4,1,3,4
Nama_5690,NIM_2881297,3,2,3,3,2,3,5,2,3,3,4,2,5,2,3,3,5,2,4,4,4,5,2,1,4,2,3,4,2,3,4,2,5,5,4,3,5,3,2,2
Nama_2518,NIM_9280083,3,2,5,5,1,4,4,1,5,4,3,2,5,4,3,4,5,1,5,5,3,3,1,2,4,1,5,3,4,1,4,1,5,3,3,2,3,1,3,5
Nama_3424,NIM_8081905,3,3,5,3,1,3,3,2,4,2,5,4,3,4,3,4,5,2,4,3,4,4,2,2,4,1,5,5,3,1,5,2,4,5,2,2,3,4,3,3
Nama_6668,NIM_7469723,4,1,5,5,2,2,3,1,5,1,4,2,5,4,3,4,5,1,5,3,4,3,2,2,4,2,3,5,3,2,5,1,5,1,4,2,3,1,1,3
Nama_2700,NIM_5025942,4,2,4,3,2,4,2,3,4,1,4,2,5,4,1,3,5,4,2,3,5,4,2,2,1,2,5,4,2,3,4,2,4,3,3,2,4,2,2,2
Nama_1192,NIM_9425021,5,1,5,4,2,5,4,3,4,4,5,2,2,3,2,3,5,1,3,5,4,1,2,2,5,1,3,4,3,1,4,1,4,1,4,3,4,1,1,3
Nama_8291,NIM_7964705,4,4,5,4,2,4,2,3,5,4,4,3,4,3,3,4,5,3,4,5,5,5,2,1,3,2,4,2,3,2,5,1,3,4,4,1,5,2,3,4
Nama_1383,NIM_5091685,5,3,4,4,3,4,2,2,5,3,4,4,4,4,2,3,3,1,4,4,4,5,3,2,2,1,5,4,5,2,5,1,5,4,4,3,3,2,1,4
Nama_3828,NIM_6044080,3,4,3,5,2,2,2,1,4,2,5,3,3,4,4,5,4,2,5,3,3,5,2,1,3,3,5,4,4,2,4,2,5,4,4,1,4,3,1,3
Nama_8086,NIM_7139996,3,1,5,3,2,4,5,3,4,3,4,3,5,4,3,4,5,1,4,5,5,3,2,1,4,3,5,4,3,3,4,1,5,2,3,2,5,3,1,3
Nama_9954,NIM_2534227,3,2,5,4,2,2,3,4,3,1,5,3,3,3,3,4,3,2,5,4,2,2,2,3,3,2,4,4,2,2,5,1,5,2,4,1,5,2,3,4
Nama_7587,NIM_9713542,4,2,5,3,2,1,4,4,5,4,4,4,3,4,3,3,2,1,4,5,5,5,4,1,3,2,5,5,5,5,5,2,5,5,3,1,3,2,1,4
Nama_4129,NIM_5280428,4,3,5,4,3,4,5,3,4,3,4,4,5,4,3,3,5,1,5,4,4,3,3,1,4,2,4,2,5,2,5,2,3,4,4,1,2,3,3,4
Nama_9615,NIM_7759991,3,2,5,4,1,2,4,3,5,1,3,4,4,4,2,3,5,3,2,3,3,3,2,1,3,1,3,4,3,3,3,2,5,3,4,2,4,3,2,4
Nama_1270,NIM_7243490,4,1,3,2,1,4,2,3,4,2,4,1,4,5,2,2,5,1,2,4,4,2,2,2,4,3,5,4,3,3,5,2,5,3,2,1,4,2,2,5
Nama_5939,NIM_9654758,4,1,5,3,1,3,3,4,5,1,5,1,5,3,2,5,3,1,3,5,2,1,2,2,5,1,4,5,2,2,5,2,4,4,1,1,4,2,2,4
Nama_5621,NIM_5777421,3,2,5,3,2,4,3,2,2,4,5,3,2,5,2,3,3,1,5,5,3,3,2,1,2,1,5,5,4,1,5,1,5,5,5,1,5,3,3,3
Nama_5266,NIM_9181932,4,2,2,4,2,2,4,2,5,2,5,3,5,5,1,3,5,1,3,5,3,3,2,4,3,1,3,3,3,3,5,1,4,4,2,3,4,3,1,5
Nama_7782,NIM_5155304,3,2,5,3,1,4,3,2,4,2,5,3,2,3,2,5,4,2,4,4,5,4,3,1,2,1,4,2,3,2,5,1,3,3,5,1,4,3,1,5
Nama_6555,NIM_6201682,3,2,5,3,3,4,2,1,4,2,5,4,5,3,1,2,4,1,4,4,4,4,3,1,4,4,5,1,5,2,5,2,3,1,5,3,5,3,1,3
Nama_3176,NIM_2151882,5,3,5,3,2,3,3,3,5,4,5,3,2,5,3,3,5,1,4,3,3,4,4,2,3,1,4,4,3,2,4,1,5,3,5,1,3,2,2,4
Nama_8452,NIM_6546510,4,3,5,5,1,5,3,3,5,2,5,1,4,4,3,5,5,2,3,4,5,5,2,2,3,3,5,5,3,2,5,2,4,3,4,2,3,4,3,4
Nama_7394,NIM_2504900,3,3,2,4,1,5,3,2,4,2,5,1,5,4,1,2,5,1,2,5,4,3,3,1,5,3,5,4,5,2,3,2,5,2,3,2,3,2,3,5
Nama_5306,NIM_2657583,4,2,3,4,3,4,3,2,3,3,5,1,5,4,4,2,3,1,4,5,4,3,1,3,3,3,4,5,4,2,4,1,5,4,3,1,4,1,2,3
Nama_1272,NIM_4730370,1,2,4,3,1,4,5,1,5,2,5,3,5,3,1,5,4,1,2,4,3,4,3,1,4,2,3,4,4,4,5,1,4,4,3,1,3,1,1,4
Nama_5399,NIM_6271513,4,1,4,2,1,2,4,1,4,1,5,3,1,3,3,5,5,1,2,5,3,4,2,1,4,2,4,4,2,2,5,1,4,4,3,1,4,2,1,2
Nama_9456,NIM_7398905,5,3,3,4,1,4,2,2,4,2,4,2,4,1,1,3,4,2,3,5,4,3,4,2,4,2,5,4,3,3,3,2,5,4,3,1,3,3,1,5
Nama_5206,NIM_6929191,4,4,5,4,1,2,2,3,4,3,5,2,5,3,3,4,5,1,5,4,4,5,2,2,3,3,4,4,4,3,5,1,5,5,4,1,2,4,1,2
Nama_5758,NIM_9798834,3,5,3,2,3,5,3,1,5,4,5,2,3,3,3,5,5,1,5,5,4,5,1,1,3,1,5,5,2,2,5,2,4,2,4,1,1,4,2,4
Nama_7115,NIM_3583677,4,3,5,4,3,3,4,3,4,2,4,2,4,2,1,5,4,2,2,5,3,2,4,3,3,2,5,4,4,3,5,1,4,4,3,1,4,4,1,4
Nama_9264,NIM_3130118,3,1,5,4,3,3,4,4,4,3,5,2,4,5,3,2,4,1,5,5,3,2,2,1,4,2,5,3,2,1,4,1,4,3,4,1,3,3,1,4
Nama_1913,NIM_8587973,2,4,5,4,1,4,4,2,4,3,5,3,4,3,3,3,5,3,4,4,3,5,2,3,4,1,3,4,4,4,4,4,5,4,3,2,4,3,1,5
Nama_3939,NIM_7562865,2,1,4,3,1,4,4,4,5,3,5,1,3,3,2,3,4,1,3,4,1,2,3,3,1,1,5,4,3,2,5,2,5,3,5,1,5,2,2,3
Nama_8509,NIM_1555839,4,2,5,4,2,4,4,2,3,2,5,2,3,4,3,4,4,1,3,5,3,4,4,1,4,2,5,4,3,3,4,2,4,5,2,2,4,3,3,3
Nama_2820,NIM_8857997,3,3,3,4,1,3,3,1,5,2,5,3,5,4,4,3,5,2,4,5,3,2,4,1,3,1,3,3,3,3,5,4,4,5,5,2,3,1,2,5
Nama_9320,NIM_5444910,3,3,3,2,1,3,3,1,4,3,4,3,3,5,1,4,5,2,3,4,5,2,2,1,5,2,4,3,3,2,5,1,5,4,5,1,3,1,1,4
Nama_7257,NIM_4742918,2,2,4,3,3,4,3,4,3,3,3,3,3,5,3,3,4,1,5,5,3,4,1,1,3,3,3,4,4,2,5,3,4,3,2,1,5,2,2,2
Nama_6599,NIM_4294900,2,3,3,3,2,4,4,4,5,1,4,2,3,3,1,5,4,4,2,5,4,3,2,1,3,1,2,4,5,3,5,2,5,5,1,2,2,1,1,3
Nama_7273,NIM_4439187,5,2,4,5,2,3,3,5,5,4,3,2,5,5,3,3,4,1,2,5,4,4,2,2,3,1,5,4,4,3,5,2,3,3,3,2,4,2,2,4
Nama_4840,NIM_9231691,5,4,5,4,1,4,3,1,3,2,5,2,3,4,2,5,5,2,4,5,3,4,4,1,4,2,5,3,3,3,5,1,3,3,3,1,5,2,1,5
Nama_6935,NIM_5105513,4,1,4,4,1,3,3,3,4,2,5,1,2,4,2,3,4,1,5,5,4,2,1,1,3,2,5,3,3,2,5,2,3,4,4,1,4,5,1,4
Nama_6092,NIM_7212695,3,2,5,4,2,2,4,2,4,1,4,4,3,5,3,2,4,1,4,4,2,3,4,1,4,2,3,3,4,2,5,1,4,4,3,1,5,1,2,2
Nama_4172,NIM_7117682,4,2,4,4,1,3,5,3,4,3,4,4,3,4,4,3,5,1,5,4,3,2,2,1,3,1,5,4,4,1,4,3,4,5,3,2,5,4,1,3
Nama_6287,NIM_9355425,3,4,5,1,1,5,3,3,5,2,5,3,4,4,2,3,4,1,5,5,5,5,3,1,3,1,3,3,3,2,4,1,5,5,5,2,4,2,1,3
Nama_6111,NIM_9700349,5,1,2,3,3,2,1,3,5,1,4,2,4,3,3,1,4,1,3,4,4,2,3,2,5,1,5,2,1,3,4,3,3,4,5,2,4,3,1,5
Nama_1343,NIM_4370698,3,1,4,2,1,5,4,4,5,2,4,2,2,4,1,4,5,2,5,5,5,4,2,1,1,1,4,4,3,1,3,1,5,4,4,1,2,1,1,2
Nama_7276,NIM_1956011,3,2,4,4,4,2,5,3,4,3,4,3,5,4,3,3,3,1,5,3,2,4,2,1,3,1,4,4,2,1,4,2,4,3,4,1,4,3,1,5
Nama_6904,NIM_2435367,4,1,4,3,1,5,5,5,2,2,5,1,5,4,3,2,4,3,3,4,4,3,3,1,3,1,3,4,2,2,5,1,5,3,3,4,3,2,1,4
Nama_8406,NIM_8760004,4,2,4,3,2,2,4,2,4,3,5,4,3,3,3,4,5,3,3,4,4,3,4,2,3,2,4,4,2,4,5,1,5,4,5,3,4,2,1,3
Nama_2074,NIM_8467133,3,4,4,3,2,3,2,4,4,3,4,3,1,3,4,5,4,2,3,4,3,4,4,2,3,2,4,3,4,3,4,1,5,2,3,3,4,1,2,3
Nama_5597,NIM_4144787,3,1,4,4,2,2,3,2,4,3,5,2,4,5,3,4,5,1,5,4,3,4,1,2,4,1,5,3,4,2,5,3,5,3,3,1,4,3,2,2
Nama_9089,NIM_4336640,4,2,5,3,1,4,3,4,3,2,4,3,2,4,4,4,5,1,3,4,3,5,3,4,3,2,3,1,4,3,4,2,4,3,3,1,3,2,2,1
Nama_6362,NIM_2545288,2,2,5,3,1,3,3,3,5,2,4,4,2,3,3,3,4,1,4,3,5,3,2,1,5,1,3,5,3,2,5,2,5,3,3,1,4,4,2,3
Nama_5674,NIM_3057244,3,4,4,3,2,4,2,2,4,2,5,3,5,3,4,3,4,2,5,3,3,3,3,2,5,1,5,3,4,3,5,1,3,5,3,1,3,4,1,4
Nama_8282,NIM_1081171,4,4,5,4,1,5,2,3,5,3,3,2,3,2,3,3,5,2,4,4,4,3,3,3,2,1,5,3,5,3,4,2,4,3,3,3,4,2,2,4
Nama_1943,NIM_4527110,2,2,4,3,3,3,3,2,5,1,4,4,4,3,3,3,4,1,4,3,4,5,2,2,4,1,3,3,4,2,5,2,5,4,3,2,4,1,3,5
Nama_3553,NIM_4289986,4,3,5,3,1,4,4,1,5,3,5,2,4,4,1,5,4,1,4,5,3,5,3,1,4,1,3,4,4,3,5,1,5,3,1,2,3,3,3,5
Nama_8027,NIM_1065867,3,3,4,3,2,3,3,3,4,1,5,3,2,2,1,3,5,1,3,5,3,2,1,1,5,2,4,5,3,4,5,1,5,4,4,2,4,3,4,5
Nama_5439,NIM_1268116,4,2,4,2,2,2,3,3,4,2,3,4,3,3,1,3,4,2,2,5,2,3,3,2,4,2,5,3,3,3,4,3,4,3,4,1,3,2,2,3
Nama_3072,NIM_6242042,4,3,5,2,2,2,4,3,3,3,4,2,5,3,2,4,5,1,5,5,1,3,2,2,1,4,5,4,5,5,5,2,5,3,3,1,3,1,1,2
Nama_9712,NIM_7848120,3,3,5,5,4,5,3,2,5,1,4,2,4,4,2,3,5,1,5,5,4,4,2,1,3,2,5,3,4,2,4,2,3,2,3,1,3,2,3,3
Nama_6424,NIM_5591901,5,3,3,2,1,5,4,1,4,2,2,3,2,2,4,2,4,1,4,5,2,3,3,1,3,2,4,3,3,2,5,2,5,1,3,1,3,3,3,5
Nama_1224,NIM_5391649,5,4,5,5,2,5,3,2,3,2,5,2,3,3,1,5,5,3,3,4,2,4,3,4,5,2,4,5,3,4,3,1,3,4,4,1,3,4,1,3
Nama_1968,NIM_7553968,5,1,4,4,1,4,3,1,5,2,5,3,4,3,4,4,5,2,5,4,4,3,1,1,2,1,5,4,4,2,5,4,3,4,5,2,5,3,2,4
Nama_7009,NIM_4337013,4,5,5,3,3,4,4,1,4,2,5,4,1,3,4,3,5,2,4,4,2,2,3,2,3,1,4,5,3,1,5,1,5,5,3,2,2,2,2,2
Nama_7558,NIM_6645812,4,4,4,4,2,2,4,5,4,3,5,2,2,3,1,5,4,1,4,3,3,4,4,2,4,2,5,4,2,3,3,2,4,5,3,1,3,3,3,3
Nama_1877,NIM_9400944,3,2,5,3,1,3,4,3,5,3,5,3,2,4,3,4,4,1,3,5,5,3,3,2,3,1,5,4,5,2,5,1,4,3,4,4,3,1,2,1
Nama_9128,NIM_3933811,4,1,5,4,1,5,2,3,4,3,3,4,4,5,1,3,5,2,4,4,5,4,1,2,5,1,4,3,2,2,5,3,2,3,4,2,5,1,1,5
Nama_2353,NIM_1682346,3,3,5,3,2,3,5,3,3,4,4,2,5,4,3,4,4,1,3,5,4,5,2,1,2,2,5,3,4,1,4,2,3,3,3,2,3,3,1,2
Nama_9791,NIM_5675431,4,5,5,5,3,3,5,2,4,2,4,3,3,4,3,4,5,3,5,5,4,4,3,1,1,2,5,2,4,2,4,3,4,3,5,1,5,1,1,3
Nama_9934,NIM_1033734,2,2,5,3,2,4,4,3,4,2,5,3,3,5,2,3,4,1,3,5,3,4,2,1,2,1,4,4,4,1,5,2,5,3,3,2,4,1,1,3
Nama_8062,NIM_9392939,5,2,3,3,1,3,4,2,5,2,4,2,4,4,2,2,5,1,4,4,3,3,3,1,5,1,5,4,5,3,4,1,4,2,3,1,3,3,1,3
Nama_7460,NIM_8292496,3,4,3,2,1,3,4,3,5,1,5,2,3,3,2,5,5,2,5,3,2,1,2,2,4,2,3,4,4,3,3,2,3,3,4,2,3,3,1,5
Nama_5922,NIM_5657448,2,2,5,3,2,3,3,4,5,5,5,2,3,5,3,5,5,1,4,5,4,4,1,1,3,3,3,5,4,4,4,2,5,4,4,1,4,4,1,5
Nama_1076,NIM_7103807,4,3,3,4,1,3,4,2,5,2,5,1,3,4,2,3,4,2,4,4,2,5,2,1,1,2,4,5,4,3,4,3,5,5,3,2,3,1,1,3
Nama_9853,NIM_7233107,3,4,4,1,1,5,4,3,5,1,3,1,4,4,3,2,3,1,3,5,5,3,3,1,4,1,5,3,4,2,4,3,5,3,4,1,5,2,2,2
Nama_6130,NIM_7509887,4,2,5,4,1,2,3,3,3,2,5,2,5,2,2,1,5,1,2,4,2,3,3,2,3,2,4,2,2,2,5,1,3,4,5,1,3,2,1,2
Nama_4036,NIM_3972881,2,3,4,3,4,3,4,3,4,3,5,2,4,3,1,2,5,1,5,4,3,4,1,1,4,2,5,5,4,4,5,1,5,3,4,2,3,3,3,2
Nama_5507,NIM_7132446,4,2,5,5,3,3,5,2,2,2,5,4,4,3,3,3,4,3,3,5,3,5,1,1,3,1,2,2,3,2,5,1,5,3,4,2,3,3,1,2
Nama_9741,NIM_9565873,4,4,4,4,1,3,3,4,5,3,5,3,5,1,3,5,3,2,3,5,3,4,2,2,4,1,5,3,4,2,5,2,4,3,2,2,3,1,1,5
Nama_4747,NIM_8157303,2,2,5,2,1,1,2,1,5,3,4,2,3,4,3,3,5,3,2,5,5,4,3,1,4,2,3,3,1,2,4,2,3,3,4,1,2,3,1,3
Nama_1636,NIM_1985461,3,3,5,3,2,2,2,2,5,3,3,3,4,3,1,4,5,2,3,3,5,5,3,3,4,1,5,3,3,3,5,1,3,3,3,2,4,4,2,3
Nama_8785,NIM_2960299,3,1,3,3,1,2,4,1,5,5,5,3,5,5,3,3,4,1,3,5,4,2,4,2,3,2,5,2,3,1,5,2,3,5,3,1,3,2,2,1
Nama_9146,NIM_4782164,4,3,4,3,2,3,2,2,4,3,5,5,4,4,2,3,5,1,4,5,3,5,3,2,3,2,4,4,3,3,4,4,4,3,4,3,5,3,2,4
Nama_2446,NIM_7433564,2,1,5,3,2,4,4,1,5,2,5,2,4,3,3,4,4,1,4,3,5,4,2,2,4,2,5,3,4,1,5,1,3,4,3,1,1,2,3,4
